title,price,rating,reviews,availability,category,sales_rank,brand
(Renewed) Dell OptiPlex 7040 SFF Desktop PC Core i5 6500 3.20GHz 32GB RAM 1TB SSD Windows 11 with USB WiFi and Bluetooth Dongle,579.0,3.8,7.0,1,Computers,28896.0,‎DELL
"Beelink Alder Lake-N100 Processor (Up to 3.40GHz) Mini Computer, MINI-S12 Pro Mini PC, 16GB RAM 500GB SSD Business Mini Desktop PC, Dual HDMI/WiFi 6/BT 5 .2/RJ45/WOL/Auto Power On",265.15,4.6,64.0,1,Computers,149.0,‎Beelink
"PELADN WI-6 Mini PC, Intel 12th Alder Lake- N100(Max 3.4GHz) Mini Desktop Computer, 16GB DDR4 RAM 512GB M.2 PCIe SSD, Desktop Computer Support 4K Dual Display/USB3.2/WiFi 5/BT4.2, Gigabit Ethernet",349.0,4.2,22.0,1,Computers,1560.0,‎PELADN
Allied Stinger Ryzen 5 5500 | RTX 3060 12GB | 16GB RAM | 1TB SSD | Win 11 | Gaming PC | Desktop Computer,1449.0,5.0,1.0,1,Computers,6320.0,‎A ALLIED GAME AS ONE.
"TRIGKEY Speed S5 Mini PC AMD Ryzen 7 5800H(Up to 4.4GHz) 32G DDR4 1T SSD, Mini Desktop Computer, HDMI, DP, Type-C, Triple-Screen 4K Output, WiFi6, BT5.2, USB3.2, Auto Power on, Wake-on-LAN",779.0,4.4,171.0,1,Computers,16062.0,‎TRIGKEY
"MeLE Slim Mini PC Overclock4C Windows 11 Pro,N95 16GB RAM 512GB Micro Computer,Small Desktop for Industrial IOT Business Dual 4K HDMI Full Function USB-C WiFi 6 Gigabit Ethernet BT5.2…",359.89,4.4,1,1,Computers,19374.0,‎MeLE
HP EliteDesk 800 G3 SFF Desktop PC Computer Intel i7-6700 3.4GHz 16GB RAM 1TB NVMe Windows 11 (Renewed),379.99,0.0,1.0,1,Computers,36506.0,‎HP
"KAMRUI Mini PC, AMD Ryzen 7 5800U 16GB Dual Channel DDR4 512GB NVMe SSD, Mini Computers Windows 11 Pro, WiFi6 Bluetooth 4K Triple Display Mini Desktop Computers Gaming PC, 8C/16T up to 4.4Ghz",659.99,4.2,285.0,1,Computers,7457.0,‎KAMRUI
"Mini PC,Peladn WI-4 PC Mini,Intel 11th N5095 Processor(up to 2.9GHz) Mini Desktop Computer, 16GB RAM 512GB SSD Micro Desktop Computers, 4K HDMI Dual Display, Dual 2.4G/5G WiFi, Gigabit Ethernet",249.0,5.0,3.0,1,Computers,2490.0,‎PELADN
Lenovo Thinkcentre M70s Gen3 SFF i7-12700 16GB RAM 512GB SSD Desktop PC,1079.0,0.0,1.0,1,Computers,46828.0,‎Lenovo
"KAMRUI AK2 Plus Mini PC, Intel 12th Gen Alder Lake- N100(up to 3.4GHz) Mini Desktop Computer, 16GB DDR4 RAM 1TB SSD Mini Computer Windows 11,Support 4K HD/WiFi 5/BT4.2 for Business Home Office",369.99,4.3,263.0,1,Computers,3890.0,‎KAMRUI
"Thermaltake Computer System Genesis V3 Xtreme Gaming PC - Intel 12400F / RTX 3060 / B660 WiFi / 16GB RGB RAM / V150 ARGB, CA-4Y1-00D1WA-03",1473.0,3.7,8.0,1,Computers,38461.0,‎Thermaltake
"GEEKOM A7 Mini PC,Mini Desktop Computer AMD Ryzen 7 7840HS up to 5.1 GHz 32 GB DDR5 1TB SSD HDMI2.0/USB Type-C Wi-Fi 6E/BT5.2, RJ45 2.5G LAN for Business Home Office Game",1299.99,5.0,4.0,1,Computers,19881.0,‎GEEKOM
"Mini PC, Intel 12th Gen N100(up to 3.4GHz) 16G RAM 500G SSD, Dual 2.5G LAN Mini Desktop Computer, Dual HDMI 4K Output/Type-C/Triple-Screen Display/ WiFi6/ BT5.2, TRIGKEY Green G5 Mini Computer",459.0,4.1,15.0,1,Computers,15921.0,‎TRIGKEY
"GEEKOM Mini PC Mini Air12, Intel 12th Gen Alder Lake N100 (up to 3.4GHz), 16GB DDR5 RAM 512GB PCIe M.2 SSD, Home/Business Mini Desktop Computer, 4K Dual Display/HDMI/WiFi 6/BT5.2/Gigabit Ethernet",499.99,4.7,8.0,1,Computers,11158.0,‎GEEKOM
